wiki_id,scan,rt,precursor_mz,charge,binbase-splash,user_annotation-name,key,library_search-identity_score,smiles,msms,hidden,ms1_inte,adduct,method
568.5344	773072.0
745.1256	4021.0",False,0.0,[M+H]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/64I7Z4AF,25,135.0,751.60082,1,splash10-001i-0900000000-199b953da06a2586ef5b,1_PC 17:0-16:1-d5,25,0.9347459673881532,[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C]([2H])(OC(=O)CCCCCCCC=CCCCCCC)C([2H])([2H])OP(=O)([O-])OCC[N+](C)(C)C,"60.08102	457651.0
71.07306	59776.0
71.21674	26231.0
78.46407	30109.0
86.09645	2006218.0
95.49073	28742.0
98.98458	40718.0
104.1069	325966.0
104.85104	30288.0
117.68348	31223.0
124.99988	708640.0
148.80125	29023.0
184.07335	42291852.0
185.07733	124384.0
280.32953	31110.0
556.24164	30923.0
568.5331	39905.0
570.3063	31715.0
639.7555	33155.0
647.137	34255.0
742.55554	35027.0",False,0.0,[M+H]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/74UF5COU,27,153.0,737.58517,1,splash10-0002-5200090000-de7b6c0822a34906be3b,1_PE 17:0-18:1-d5,27,0.949222207069397,[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C]([2H])(OC(=O)CCCCCCCC=CCCCCCCCC)C([2H])([2H])OP(=O)([O-])OCC[N+](C)(C)C,"61.51857	3803.0
67.05065	6428.0
67.05436	120885.0
69.06583	4429.0
69.06996	160322.0
71.08559	175813.0
79.05405	25367.0
81.0649	7905.0
81.06992	188543.0
83.08556	190450.0
85.06443	8219.0
85.10118	114656.0
87.87817	4371.0
93.06985	39799.0
95.08554	259518.0
97.10122	139054.0
99.11639	4796.0
107.08579	29288.0
109.1013	139471.0
111.11685	49003.0
121.10131	68010.0
123.11679	57902.0
125.13214	6216.0
135.1167	62579.0
137.13263	31468.0
151.14815	15404.0
153.12788	6092.0
163.14746	17693.0
165.16328	14537.0
179.17924	4995.0
209.94096	4628.0
219.70587	8087.0
235.2422	6975.0
247.24136	21199.0
253.25304	42700.0
265.2526	65874.0
296.29486	26116.0
308.29477	68166.0
332.32083	41048.0
344.3209	46585.0
389.69458	4376.0
455.322	4387.0
473.34418	5222.0
596.5656	2208353.0
611.9918	4404.0",False,0.0,[M+H]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/PR11U6GH,28,144.0,571.57896,1,splash10-00di-0090010000-de16d32080ba6a7065f8,1_Cer 18:1-d7 (d18:1-d7/18:1),28,0.9723740220069884,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])CCCCCCCCCCC=C[CH](O)[CH](CO)N=C(O)CCCCCCCC=CCCCCCCCC,"60.04472	10368.0
69.41951	8838.0
79.05347	8214.0
81.74545	8987.0
82.06519	66055.0
93.06952	10252.0
93.39219	9005.0
95.08511	10967.0
121.10107	16342.0
135.11743	19016.0
157.80338	9440.0
172.82767	10241.0
221.00209	13154.0
236.22105	9714.0
259.31204	214018.0
270.3051	36036.0
271.3121	2112780.0
289.32278	255740.0
523.55786	15950.0
535.5548	83140.0
553.5676	283657.0
571.2971	14414.0",False,0.0,[M+H]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/RA8RGYIM,29,244.2,841.80155,1,splash10-066r-7310090000-c2e96d43cd567f6d3ddf,1_TG 16:0-17:1-16:0-d5,29,0.943960964679718,[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCC)C([2H])(OC(=O)CCCCCCCCC=CCCCCCC)C([2H])([2H])OC(=O)CCCCCCCCCCCCCCC,"60.89655	14856.0
67.05431	638319.0
69.06584	30353.0
69.06994	727305.0
71.04906	34441.0
71.08556	1385024.0
78.53291	15091.0
79.05402	84205.0
81.06989	1398542.0
81.27822	15477.0
81.38848	15827.0
83.08553	1244701.0
84.94562	17192.0
85.06441	40306.0
85.10117	937427.0
93.06985	155835.0
95.08553	1956170.0
97.06477	21547.0
97.10126	834005.0
99.08028	106245.0
99.11655	74507.0
107.02173	17421.0
107.08549	143326.0
109.10115	1165964.0
111.11689	335244.0
113.13304	30765.0
113.86473	19317.0
121.10109	445172.0
123.11673	646191.0
125.1328	160619.0
135.11687	509406.0
137.13252	386318.0
140.60701	16894.0
149.13243	294252.0
151.14812	246747.0
153.12688	17154.0
163.1477	80790.0
165.1635	109137.0
167.14194	26676.0
177.16362	26296.0
221.226	132117.0
233.22687	267333.0
236.01845	16972.0
239.23685	884564.0
251.2369	579000.0
318.3052	303156.0
330.3049	112174.0
555.53296	23029.0
556.5345	3216327.0
567.5293	33817.0
568.53424	8441905.0
758.9913	18526.0",False,0.0,[M+NH4]+,5m splash one premier | orbitrap | beh c18 | positive
aYSUJ8A/T6NCNYG6,30,40.2,504.33443,1,splash10-001i-4209000000-340682f5a96b9ec49b1b,1_LPG 17:0-d5,30,0.8104192614555359,[2H]C([2H])(OC(=O)CCCCCCCCCCCCCCCC)[C]([2H])(O)C([2H])([2H])OP(=O)(O)OCC(O)CO,"67.05435	4022.0
69.06992	12031.0
71.08556	26713.0
77.77573	2624.0
81.06996	12315.0
83.07698	3003.0
83.08547	15671.0
85.10127	22462.0
88.11194	4356.0
95.08549	20016.0
97.06487	9739.0
97.10094	5299.0
98.98409	6161.0
99.04399	11981.0
101.05965	6103.0
